Taxa	trait1	trait2	trait3	trait4	trait5	trait6
22_1	0.020280812	1.682395705	4.322372131	-1095.128306	-4.884966084	-77.19137756
22_2	0.018679744	-0.073259854	2.450844207	302.9018408	-8.777468556	57.6128335
22_3	0.019875511	4.298351064	3.156921477	217.3877577	-3.879869357	111.9289593
22_4	0.011365627	1.589152699	-1.745048852	-105.2548237	-5.043166851	-43.65888981
22_5	0.021396047	7.480396144	3.077681449	87.64566873	-6.546703221	13.72911162
22_6	0.015000373	0.193216828	2.085066806	-645.0543961	3.202616016	64.07169704
22_7	0.011591278	-4.687372095	4.071919355	127.0243252	4.251453786	30.61108933
22_8	0.014574328	2.884340692	1.137378751	715.2865258	0.405292468	-16.35608205
22_9	-0.008986991	7.482110673	0.22841041	1355.473806	-4.996959934	143.7235601
22_10	-0.00343874	4.336087416	-4.066833855	-557.8525472	-4.239696094	137.3414646
22_11	0.005110518	2.420822551	0.541829297	709.9651626	3.734496354	93.4876193
22_12	0.052668115	7.309711732	-0.291197499	-173.6559131	-0.100967409	-70.99108667
22_13	0.020609508	0.064802227	1.236198419	54.18289741	3.223724068	88.70524137
22_14	0.020992402	5.265689887	0.390635151	1031.344896	-4.242376426	-108.661221
22_15	0.005243311	3.226776158	-2.323132403	397.5393047	-3.060873486	-140.8651721
22_16	0.020401867	3.75722526	0.854855219	-154.828666	-5.616686683	-128.3645461
22_17	0.003474123	3.206746179	6.544069881	-133.4845059	2.124170446	40.07446437
22_18	-0.005107946	-0.490101372	5.002344204	16.19277087	-2.753791724	-163.2062333
22_19	0.013595806	5.061936653	2.872516987	-686.3076553	-4.405616943	264.1792598
22_20	0.025418542	3.383389738	-1.269290599	356.3493756	-4.160249015	-110.2220142
22_21	-0.006086103	0.486122475	-2.245067963	975.4571852	3.766376088	-86.13442036
22_22	0.016023134	2.447679042	3.626489501	619.9779144	-6.086373445	222.8436687
22_23	0.000681463	-0.916812398	0.444493122	-807.6907178	0.059288272	-147.0173927
22_24	-0.011467491	2.500939724	2.008329763	564.189041	-6.613289859	-16.12689117
22_25	0.00134487	4.905339346	2.034552979	1177.604075	-2.834959563	128.1925652
22_26	0.006634067	1.240354788	1.115092826	538.492333	-1.403416682	278.7220611
22_27	0.008625602	-7.986091952	5.888474284	-657.4946615	-7.310743763	20.23107453
22_28	0.006576353	-2.729034505	3.082041319	67.95099125	-2.292666958	-59.35461037
22_29	0.013315988	-0.496487524	-3.772692513	-792.2879039	-0.441245925	73.112433
22_30	-0.003266131	2.350749316	5.0029084	-589.4053675	-2.239589669	23.08262735
22_31	-0.001654357	1.369429805	1.510348032	-423.2842697	1.149136513	54.73233965
24_1	-0.016641683	-3.563001317	-3.193059856	-1911.84612	-0.874746401	-140.2910144
24_2	0.004677901	-9.469952078	-2.866794767	-515.6183059	-9.535461247	-188.342722
24_4	0.005369668	-4.188020814	-4.231174299	-807.4661765	-7.850746251	-106.3322448
24_8	0.006383	-8.460371264	-3.823997508	1552.264544	4.652197314	-141.6576131
24_13	-0.002957357	4.257974735	-3.510183987	-1499.225065	-5.228309348	-179.0644542
24_14	-0.016869371	-2.146436823	-4.251222707	-1301.476829	-6.079161571	-252.5960262
24_15	0.018775447	-3.075760348	1.010829653	-1474.840992	-14.11718663	-192.8690111
24_19	0.012850298	-10.17330517	-5.582224677	-1209.693411	-13.82187514	-136.4441531
24_20	0.003549264	-4.640861471	-3.206998624	-632.4858556	-15.68835219	-233.4443358
24_21	0.041649745	2.710831525	-3.628144446	-1671.658222	-18.06807048	-244.9300242
24_23	0.004031929	-4.297408729	-4.285249611	-2212.236472	-13.51809021	-229.4050581
24_24	0.007308486	-3.039716931	-3.189107153	-1038.590322	-7.601645373	-200.2561057
24_25	0.002649973	4.607463335	-3.588705304	-2146.600997	-20.35708267	-279.1943895
24_27	0.002280456	-1.351110085	-5.125413419	-2093.671491	-19.34004354	-106.7145717
24_28	0.008116268	1.37572982	-4.423605517	-1364.393454	-10.9437169	-147.4818643
24_29	0.011423765	2.445606975	-5.88825732	-1556.478427	-10.90363844	-182.1149075
24_31	0.003530784	-10.50163145	-4.86099703	-1091.861266	-12.17080315	-30.47964248
24_32	-0.0001036	0.182910034	-4.56347191	-746.9677591	-5.416551623	47.43351854
9_1	-0.008000077	1.287017108	6.407217604	1396.194816	12.70526255	66.44711962
9_2	0.024742929	4.368598731	3.921203797	463.1150684	-0.732823713	6.445741032
